Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast/90,npG/90,npG+A/90,xA/90,npxG/90,npxG+xA/90,Shots/90,SoTs/90,SoT%,Gls/Shot,Gls/SoT,AvgShotDist,FKSht/90,npxG/Shot,np:G-xG,PassCmp/90,PassAtt/90,PassCmp%,TotDistPass/90,PrgDistPass/90,ShortCmp/90,ShortAtt/90,ShortCmp%,MedCmp/90,MedAtt/90,MedCmp%,LongCmp/90,LongAtt/90,LongCmp%,KeyPass/90,PassIntoThird/90,PassIntoBox/90,CrossIntoBox/90,ProgPass/90,LivePassAtt/90,DeadPassAtt/90,FKPassAtt/90,TBCmp/90,PassUnderPress/90,Switches/90,Crosses/90,GroundPass/90,LowPass/90,HighPass/90,LeftPass/90,RightPass/90,HeadPass/90,ThrowPass/90,OtherPartPass/90,OffsidePass/90,OutOBPass/90,PassesInt/90,PassesBlk/90,SCA/90,PassLiveSCA/90,PassDeadSCA/90,DribSCA/90,ShSCA/90,FoulSCA/90,DefSCA/90,GCA/90,PassLiveGCA/90,PassDeadGCA/90,DribGCA/90,ShGCA/90,FoulGCA/90,DefGCA/90,TklAtt/90,TklW/90,Def 3rdTkl/90,Mid 3rdTkl/90,Att 3rdTkl/90,TklvDribW/90,TklvDribAtt/90,Tkl%vDrib,DribPast/90,PressAtt/90,SuccPress/90,PressSucc%,Def 3rdPress/90,Mid 3rdPress/90,Att 3rdPress/90,Blocks/90,ShotBlocks/90,PassBlk/90,Interceptions/90,Clearances/90,ErrToShot/90,Touches/90,Def PenTchs/90,Def 3rdTchs/90,Mid 3rdTchs/90,Att 3rdTchs/90,Att PenTchs/90,%TchsDefPen,%TchsDefThrd,%TchsMidThrd,%TchsAttThrd,%TchsAttPen,LiveTchs/90,SuccDrib/90,AttDrib/90,DribSucc%,PlayersDribPast/90,Megs/90,Carries/90,TotDistCarry/90,PrgDistCarry/90,ProgCarry/90,CarryIntoThird/90,CarryIntoBox/90,Miscontrol/90,Dispossessed/90,PassTarget/90,PassesReceived/90,PassRec%,ProgPassReceived/90
Javi Galán,es ESP,DF,Huesca,es La Liga,25.0,1994.0,37,34,3065,34.1,0.06,0.03,0.09,0.09,0.01,0.1,0.21,0.03,14.3,0.14,1.0,24.0,0.0,0.03,0.02,41.8,53.4,78.2,747.9,276.2,19.9,22.1,90.2,16.9,20.2,83.5,4.43,9.0,49.2,1.17,2.05,1.47,0.79,3.34,41.9,11.4,1.11,0.0,5.81,1.5,3.05,30.1,12.3,11.0,40.1,2.2,1.2,9.65,0.03,0.23,1.35,1.03,2.02,2.02,1.5,0.26,0.09,0.0,0.18,0.0,0.21,0.12,0.09,0.0,0.0,0.0,0.0,3.2,2.17,1.67,1.38,0.15,1.23,2.43,50.6,1.2,16.3,5.48,33.6,7.51,7.1,1.7,2.02,0.12,1.91,0.82,1.64,0.0,66.3,3.14,22.3,31.8,18.0,0.82,0.04736048265,0.3363499246,0.479638009,0.2714932127,0.01236802413,55.5,3.34,4.31,77.6,3.46,0.06,45.2,263.5,155.7,6.13,1.67,0.38,1.41,1.47,42.8,38.5,90.1,1.79
David García,es ESP,DF,Osasuna,es La Liga,26.0,1994.0,35,35,3150,35.0,0.0,0.03,0.03,0.01,0.04,0.05,0.4,0.03,7.1,0.07,1.0,11.1,0.0,0.11,-0.01,28.0,37.1,75.5,666.4,267.6,6.77,8.17,82.9,14.5,17.2,84.4,6.31,10.9,57.7,0.11,2.54,0.06,0.0,3.0,35.6,1.49,1.4,0.03,5.57,1.49,0.11,19.4,4.89,12.8,11.3,18.7,4.09,0.09,0.11,0.2,0.91,0.63,0.34,0.23,0.2,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.03,1.17,0.83,0.6,0.51,0.06,0.49,0.86,56.7,0.37,8.63,3.69,42.7,4.09,4.31,0.23,1.46,0.57,0.89,1.51,7.63,0.0,48.9,6.03,23.7,26.3,1.34,0.8,0.1233128834,0.4846625767,0.5378323108,0.02740286299,0.0163599182,47.6,0.03,0.03,100.0,0.03,0.0,20.9,118.9,53.3,1.31,0.06,0.0,0.2,0.03,22.7,22.2,97.7,0.11
Eric García,es ESP,DF,Manchester City,eng Premier League,19.0,2001.0,6,3,383,4.3,0.0,0.0,0.0,0.02,0.03,0.05,0.47,0.0,0.0,0.0,,22.6,0.0,0.06,-0.02,74.9,80.0,93.6,1579.5,434.7,21.9,23.0,94.9,40.2,41.2,97.7,12.6,15.3,81.8,0.47,6.74,0.0,0.0,3.72,78.4,1.63,0.93,0.0,3.72,0.7,0.0,70.5,4.88,4.65,7.67,68.8,1.86,0.7,0.23,0.23,0.7,0.7,0.47,0.93,0.7,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.93,1.63,0.47,0.23,0.7,2.33,30.0,1.63,11.4,3.02,26.5,6.98,4.19,0.23,1.16,0.23,0.93,1.16,2.79,0.0,87.9,7.21,26.7,62.1,3.49,0.23,0.08202502844,0.3037542662,0.7064846416,0.03970420933,0.002616609784,86.3,0.0,0.0,,0.0,0.0,65.3,399.5,245.6,10.5,1.63,0.0,0.23,0.0,71.9,69.8,97.1,0.0
Unai García,es ESP,DF,Osasuna,es La Liga,28.0,1992.0,17,13,1242,13.8,0.0,0.0,0.0,0.02,0.04,0.05,0.29,0.0,0.0,0.0,,15.0,0.0,0.12,-0.04,23.9,30.5,78.4,641.7,201.0,4.28,5.07,84.3,11.8,13.7,86.2,7.75,11.2,69.0,0.22,2.17,0.14,0.0,1.88,28.5,2.03,1.96,0.0,4.2,1.96,0.22,18.8,3.33,8.33,2.39,24.9,2.17,0.07,0.22,0.07,1.09,0.07,0.58,0.58,0.36,0.07,0.0,0.14,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.96,1.01,1.23,0.51,0.22,0.58,1.23,47.1,0.65,7.75,2.32,29.9,3.84,3.48,0.43,1.3,0.58,0.72,1.23,3.99,0.0,39.0,5.65,19.6,20.4,1.45,0.72,0.1448717949,0.5025641026,0.5230769231,0.03717948718,0.01846153846,37.0,0.29,0.29,100.0,0.29,0.0,19.6,120.7,69.3,2.25,0.22,0.0,0.36,0.0,18.8,18.1,96.2,0.0
Mario Gaspar,es ESP,DF,Villarreal,es La Liga,29.0,1990.0,24,21,1851,20.6,0.1,0.0,0.1,0.08,0.04,0.12,0.73,0.19,26.7,0.0,0.0,18.9,0.0,0.05,-0.04,45.4,53.7,84.5,793.5,306.7,19.8,21.7,90.8,21.6,24.0,89.7,3.25,5.49,59.3,0.58,2.48,1.17,0.49,2.96,43.1,10.6,1.07,0.0,5.87,0.83,1.46,33.4,11.7,8.5,4.13,37.1,2.18,9.47,0.1,0.34,0.83,1.07,1.7,1.5,1.21,0.0,0.05,0.05,0.1,0.1,0.19,0.15,0.0,0.0,0.0,0.05,0.0,2.48,0.92,0.87,1.31,0.29,0.78,1.84,42.1,1.07,14.2,3.59,25.3,5.44,6.41,2.38,2.09,0.19,1.89,1.26,3.45,0.0,65.4,3.98,20.1,31.2,18.1,1.75,0.06085626911,0.3073394495,0.4770642202,0.2767584098,0.02675840979,54.9,0.49,0.87,55.6,0.49,0.05,35.6,156.3,96.3,4.27,1.65,0.15,0.73,0.34,44.0,39.0,88.6,2.33
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,de Bundesliga,33.0,1986.0,34,34,3032,33.7,0.03,0.09,0.12,0.04,0.04,0.08,0.59,0.24,40.0,0.15,0.38,16.0,0.0,0.07,0.05,34.9,45.8,76.3,619.3,289.0,15.8,18.6,85.3,15.3,19.8,77.5,3.47,5.99,57.9,0.59,1.99,0.71,0.3,3.23,35.7,10.1,0.33,0.0,6.11,0.5,0.98,22.5,10.9,12.4,3.23,28.8,2.52,9.73,0.18,0.12,0.65,1.54,1.31,1.13,0.89,0.09,0.0,0.06,0.09,0.0,0.12,0.06,0.03,0.0,0.03,0.0,0.0,2.11,1.01,1.39,0.42,0.3,0.86,2.14,40.3,1.28,14.6,4.3,29.5,7.24,4.84,2.52,2.11,0.39,1.72,1.81,3.62,0.03,57.4,4.24,20.2,25.8,13.6,1.16,0.07386759582,0.3519163763,0.4494773519,0.2369337979,0.02020905923,47.4,0.12,0.33,36.4,0.12,0.0,27.0,106.1,53.0,2.52,0.8,0.09,0.62,0.42,35.4,29.7,83.9,2.02
Kieran Gibbs,eng ENG,DF,West Brom,eng Premier League,30.0,1989.0,10,9,809,9.0,0.0,0.0,0.0,0.03,0.01,0.04,0.11,0.0,0.0,0.0,,12.1,0.0,0.05,0.0,24.8,34.3,72.2,436.6,159.6,11.4,12.9,88.8,10.8,14.7,73.5,2.33,6.0,38.9,0.33,1.67,0.33,0.33,1.78,29.7,4.67,0.44,0.0,4.33,0.11,1.22,17.3,5.22,11.8,24.6,2.67,2.11,4.11,0.11,0.22,0.33,0.56,0.78,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,1.56,0.67,1.0,0.33,0.22,0.33,0.78,42.9,0.44,8.89,2.22,25.0,4.67,3.33,0.89,1.89,0.67,1.22,1.56,3.67,0.0,43.8,6.0,17.1,19.8,8.67,0.33,0.1369863014,0.3904109589,0.4520547945,0.1979452055,0.007534246575,39.1,0.22,0.33,66.7,0.22,0.0,20.8,124.9,61.4,2.56,0.56,0.0,0.56,0.33,24.1,21.0,87.1,1.0
Niko Gießelmann,de GER,DF,Union Berlin,de Bundesliga,28.0,1991.0,13,4,430,4.8,0.0,0.0,0.0,0.07,0.02,0.09,0.83,0.0,0.0,0.0,,27.7,0.0,0.02,-0.02,33.1,51.7,64.1,631.3,274.8,15.0,18.5,80.9,12.9,19.8,65.3,5.21,11.5,45.5,0.63,3.75,0.83,0.0,5.21,41.5,10.2,1.88,0.0,7.92,0.83,3.96,22.9,13.8,15.0,35.0,4.38,2.08,8.33,0.0,0.42,1.67,1.25,2.29,1.25,0.83,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.88,2.71,0.63,0.42,1.25,1.67,75.0,0.42,16.3,4.17,25.6,7.5,5.0,3.75,1.88,0.42,1.46,1.67,3.75,0.21,65.0,3.54,21.7,26.9,19.8,0.83,0.05446153846,0.3338461538,0.4138461538,0.3046153846,0.01276923077,55.0,0.42,1.04,40.0,0.42,0.0,31.5,138.3,77.3,3.54,1.88,0.0,0.83,0.63,40.6,34.6,85.1,2.5
Matthias Ginter,de GER,DF,M'Gladbach,de Bundesliga,26.0,1994.0,34,34,3060,34.0,0.03,0.06,0.09,0.06,0.06,0.12,0.65,0.24,36.4,0.09,0.25,12.0,0.0,0.09,0.0,59.1,68.9,85.8,1241.9,445.9,17.9,19.2,92.8,31.9,34.6,92.3,8.76,14.0,62.7,0.32,4.91,0.56,0.12,5.38,66.5,2.41,1.65,0.09,5.18,1.32,0.47,49.4,5.68,13.8,9.59,54.3,2.74,0.76,0.18,0.12,0.44,1.24,0.59,0.88,0.82,0.0,0.03,0.0,0.03,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.88,0.53,0.47,0.38,0.03,0.32,0.82,39.3,0.5,5.24,2.12,40.4,2.76,2.09,0.38,1.68,0.94,0.74,1.15,5.38,0.0,78.9,9.12,40.0,39.5,4.97,1.21,0.1155893536,0.5069708492,0.5006337136,0.06299112801,0.01533586819,76.6,0.29,0.38,76.9,0.32,0.06,52.2,289.9,173.0,5.03,1.09,0.03,0.12,0.12,57.6,56.4,98.0,0.38
Kamil Glik,pl POL,DF,Benevento,it Serie A,32.0,1988.0,36,36,3206,35.6,0.03,0.06,0.08,0.03,0.09,0.12,0.81,0.31,37.9,0.07,0.18,10.0,0.0,0.11,-0.04,31.9,35.5,89.7,727.4,183.1,7.08,7.78,91.0,17.5,18.5,94.4,6.74,8.54,78.9,0.11,0.84,0.0,0.0,1.18,33.6,1.94,1.74,0.0,3.03,1.43,0.03,27.2,2.5,5.79,6.32,26.1,1.99,0.0,0.25,0.06,0.31,0.34,0.08,0.37,0.34,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.63,0.96,1.21,0.39,0.03,0.62,1.43,43.1,0.81,8.54,3.4,39.8,5.67,2.56,0.31,1.63,1.04,0.59,1.1,6.18,0.03,47.0,9.21,29.0,18.1,1.88,1.4,0.1959574468,0.6170212766,0.385106383,0.04,0.02978723404,45.2,0.11,0.17,66.7,0.11,0.0,23.2,109.1,59.3,1.12,0.03,0.0,0.17,0.08,28.3,27.2,96.0,0.28
Ben Godfrey,eng ENG,DF,Everton,eng Premier League,22.0,1998.0,31,29,2685,29.8,0.07,0.0,0.07,0.02,0.03,0.05,0.47,0.07,14.3,0.0,0.0,15.1,0.0,0.06,-0.03,37.0,43.7,84.6,728.5,192.3,12.7,14.4,88.3,19.0,20.8,91.1,4.63,6.91,67.0,0.07,1.95,0.17,0.07,1.71,39.8,3.93,0.47,0.03,5.23,0.54,0.23,32.4,5.17,6.11,3.19,34.1,1.98,3.42,0.13,0.03,0.81,0.74,1.07,0.34,0.23,0.0,0.0,0.07,0.03,0.0,0.07,0.03,0.0,0.0,0.03,0.0,0.0,1.88,0.97,1.34,0.47,0.07,0.84,1.31,64.1,0.47,12.4,3.86,31.1,7.95,3.69,0.77,2.85,1.31,1.54,1.51,4.53,0.0,56.0,7.72,30.2,25.4,4.9,0.7,0.1378571429,0.5392857143,0.4535714286,0.0875,0.0125,52.1,0.27,0.47,57.1,0.3,0.0,31.1,205.7,116.2,2.68,0.94,0.1,0.57,0.5,34.4,32.3,94.1,0.27
Diego Godín,uy URU,DF,Cagliari,it Serie A,34.0,1986.0,28,28,2508,27.9,0.0,0.04,0.04,0.02,0.03,0.04,0.39,0.14,36.4,0.09,0.25,9.2,0.0,0.07,0.01,46.1,53.7,85.7,1056.6,386.0,11.5,12.8,90.4,24.2,26.2,92.1,10.1,14.0,72.1,0.25,2.9,0.11,0.04,2.4,50.3,3.48,3.15,0.0,4.44,0.75,0.22,37.0,4.95,11.8,10.4,39.5,2.33,0.11,0.22,0.25,0.75,0.39,0.5,0.72,0.68,0.0,0.0,0.0,0.04,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,2.22,1.18,1.72,0.5,0.0,0.75,1.54,48.8,0.79,9.89,3.69,37.3,6.42,3.23,0.25,1.83,0.75,1.08,1.58,6.59,0.04,66.1,10.8,37.0,31.1,2.72,0.93,0.1633888048,0.5597579425,0.4704992436,0.04114977307,0.01406959153,62.9,0.5,0.5,100.0,0.5,0.0,38.9,235.8,140.0,3.41,0.75,0.04,0.14,0.22,41.8,40.4,96.7,0.36
Edoardo Goldaniga,it ITA,DF,Genoa,it Serie A,26.0,1993.0,25,19,1857,20.6,0.05,0.0,0.05,0.05,0.02,0.07,0.34,0.0,0.0,0.0,,12.8,0.0,0.06,-0.02,31.1,42.6,73.0,630.0,270.5,11.9,13.3,89.8,14.1,18.4,76.3,4.81,9.61,50.0,0.34,2.72,0.58,0.34,2.91,37.6,5.0,1.07,0.1,4.66,1.02,1.21,24.7,5.44,12.5,3.83,31.6,2.43,3.93,0.24,0.19,0.87,0.68,1.12,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.65,1.02,1.17,0.44,0.05,0.58,1.12,52.2,0.53,10.1,3.2,31.6,5.58,3.93,0.63,1.17,0.34,0.83,1.41,4.47,0.1,52.3,5.53,23.9,24.3,7.52,0.83,0.1057361377,0.4569789675,0.4646271511,0.1437858509,0.01586998088,47.4,0.24,0.49,50.0,0.29,0.05,29.0,163.1,83.0,2.82,0.97,0.05,0.53,0.29,34.3,31.5,91.8,1.02
Vladimir Golemić,si SVN,DF,Crotone,it Serie A,29.0,1991.0,30,26,2341,26.0,0.0,0.04,0.04,0.01,0.02,0.03,0.23,0.08,33.3,0.17,0.5,9.6,0.0,0.08,0.02,42.8,49.3,86.9,891.1,309.2,12.3,13.5,91.5,23.6,25.6,92.2,6.27,9.35,67.1,0.15,1.38,0.08,0.0,1.96,46.2,3.12,2.58,0.0,5.73,0.92,0.15,36.7,4.77,7.81,7.73,37.5,2.31,0.54,0.19,0.12,1.0,0.62,0.27,0.46,0.42,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,1.31,0.69,0.85,0.31,0.15,0.38,0.92,41.7,0.54,11.1,3.96,35.6,6.65,4.0,0.46,2.08,1.08,1.0,1.04,4.88,0.04,58.8,10.6,37.3,22.9,1.65,0.5,0.1802721088,0.6343537415,0.3894557823,0.02806122449,0.008503401361,55.9,0.12,0.12,100.0,0.12,0.0,33.6,160.0,78.8,1.15,0.15,0.0,0.15,0.15,38.2,37.3,97.9,0.15
Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,23.0,1997.0,7,6,590,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,72.7,80.6,90.2,1725.8,463.8,15.0,16.1,93.4,42.1,44.8,93.9,15.0,18.6,80.5,0.15,4.55,0.0,0.0,5.76,79.5,1.06,1.06,0.0,9.85,4.39,0.0,61.5,4.7,14.4,5.76,67.4,4.7,0.0,0.0,0.15,1.21,0.15,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.3,0.3,0.45,0.0,0.0,0.61,0.0,0.61,5.91,2.27,38.5,3.64,1.97,0.3,1.06,0.45,0.61,0.76,4.85,0.3,89.4,10.5,40.5,53.3,0.91,0.0,0.1174496644,0.4530201342,0.596196868,0.01017897092,0,88.5,0.61,0.61,100.0,0.61,0.0,63.5,290.0,162.4,4.24,0.0,0.0,0.15,0.91,64.5,64.2,99.5,0.0
Sergi Gómez,es ESP,DF,Sevilla,es La Liga,28.0,1992.0,9,9,719,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,,13.0,0.0,0.03,0.0,63.3,67.5,93.7,1382.1,314.6,13.3,14.1,93.8,39.3,40.1,97.8,10.6,12.6,84.2,0.0,1.13,0.0,0.0,1.25,66.5,1.0,0.75,0.0,6.13,1.63,0.0,60.1,2.5,4.88,4.63,60.1,1.0,0.13,0.13,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.38,0.5,0.25,0.0,0.13,0.25,50.0,0.13,6.38,2.25,35.3,3.5,2.88,0.0,1.13,0.38,0.75,0.38,4.25,0.0,74.3,13.1,45.3,31.1,0.25,0.13,0.1763122476,0.6096904441,0.4185733513,0.00336473755,0.001749663526,73.3,0.0,0.0,,0.0,0.0,52.4,213.4,97.6,1.5,0.0,0.0,0.0,0.0,60.0,59.4,99.0,0.0
Álvaro González,es ESP,DF,Marseille,fr Ligue 1,30.0,1990.0,32,32,2831,31.5,0.1,0.06,0.16,0.01,0.03,0.05,0.51,0.1,18.8,0.13,0.67,9.4,0.0,0.06,0.03,54.0,60.5,89.3,1185.6,394.2,14.7,15.7,93.9,29.0,30.8,94.3,9.75,13.2,73.6,0.1,3.49,0.13,0.0,3.3,58.3,2.19,1.97,0.03,4.06,1.4,0.0,46.8,4.19,9.59,5.9,50.8,2.76,0.22,0.13,0.06,0.76,0.89,0.41,0.41,0.29,0.0,0.0,0.03,0.06,0.03,0.13,0.03,0.0,0.0,0.03,0.03,0.03,1.21,0.63,0.92,0.25,0.03,0.67,1.11,60.0,0.44,5.75,2.06,35.9,3.78,1.65,0.32,1.52,0.57,0.95,0.98,4.54,0.0,69.0,8.48,37.1,35.6,1.49,0.73,0.1228985507,0.5376811594,0.515942029,0.0215942029,0.01057971014,66.9,0.13,0.13,100.0,0.13,0.0,45.0,262.5,176.3,4.54,0.19,0.06,0.06,0.16,50.9,49.8,98.0,0.03
Bruno González,es ESP,DF,Valladolid,es La Liga,30.0,1990.0,27,25,2263,25.1,0.0,0.04,0.04,0.0,0.01,0.01,0.2,0.08,40.0,0.2,0.5,11.9,0.0,0.06,0.03,23.8,30.4,78.1,557.6,155.2,5.5,6.49,84.7,11.9,13.9,85.7,6.06,9.32,65.0,0.04,0.92,0.0,0.0,1.12,28.5,1.91,1.83,0.0,3.63,1.08,0.0,19.4,3.31,7.73,4.06,22.5,2.71,0.08,0.08,0.04,0.84,0.44,0.48,0.16,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.6,0.88,0.4,0.0,0.56,1.2,46.7,0.64,9.92,3.11,31.3,5.9,3.82,0.2,1.39,0.68,0.72,1.16,5.86,0.12,40.1,5.86,23.1,18.1,0.6,0.36,0.1461346633,0.5760598504,0.4513715711,0.01496259352,0.00897755611,38.2,0.16,0.2,80.0,0.16,0.0,17.9,107.5,44.9,0.72,0.08,0.0,0.08,0.04,20.2,19.5,96.6,0.16
Diego González,es ESP,DF,Elche,es La Liga,25.0,1995.0,19,15,1280,14.2,0.0,0.07,0.07,0.0,0.04,0.04,0.42,0.14,33.3,0.17,0.5,8.4,0.0,0.08,0.04,46.2,51.1,90.4,1017.0,316.1,11.5,12.1,95.3,26.3,27.3,96.4,8.1,11.2,72.3,0.07,1.48,0.0,0.0,2.18,49.8,1.34,1.34,0.0,6.06,0.92,0.07,40.4,3.38,7.39,25.6,23.4,1.27,0.0,0.14,0.14,0.42,0.28,0.35,0.28,0.21,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.85,0.63,0.35,0.14,0.28,0.77,36.4,0.49,9.15,3.1,33.8,5.77,3.17,0.21,1.9,0.77,1.13,1.06,5.85,0.14,60.6,10.2,36.1,26.2,1.69,0.7,0.1683168317,0.595709571,0.4323432343,0.02788778878,0.01155115512,59.3,0.42,0.42,100.0,0.42,0.0,40.8,227.7,122.5,3.38,0.07,0.0,0.21,0.14,42.3,41.7,98.7,0.07
Andoni Gorosabel,es ESP,DF,Real Sociedad,es La Liga,23.0,1996.0,32,28,2382,26.5,0.04,0.0,0.04,0.09,0.02,0.11,0.34,0.08,22.2,0.0,0.0,21.0,0.0,0.08,-0.02,43.6,54.1,80.7,714.3,294.6,22.4,24.8,90.3,17.0,20.6,82.8,3.25,6.42,50.6,0.87,3.28,1.47,0.34,3.85,42.9,11.1,1.25,0.04,6.04,0.53,2.34,33.0,11.3,9.77,3.66,38.2,1.89,9.81,0.15,0.26,0.87,1.25,1.66,1.96,1.55,0.26,0.0,0.04,0.11,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,2.64,1.32,1.51,0.94,0.19,1.13,3.02,37.5,1.89,13.4,4.26,31.7,5.66,5.02,2.75,1.25,0.08,1.17,0.98,2.04,0.0,63.7,2.72,16.6,31.8,19.3,1.55,0.04270015699,0.2605965463,0.4992150706,0.3029827316,0.02433281005,52.7,0.42,0.87,47.8,0.42,0.0,38.3,173.4,100.6,4.23,1.62,0.19,1.02,0.6,40.6,36.8,90.7,2.57
Robin Gosens,de GER,DF,Atalanta,it Serie A,26.0,1994.0,32,30,2523,28.0,0.21,0.36,0.57,0.14,0.24,0.38,1.79,0.71,40.0,0.2,0.5,11.5,0.0,0.14,0.11,48.4,59.3,81.7,777.3,309.8,26.3,29.9,87.9,18.4,21.9,84.3,2.93,5.21,56.2,1.0,3.46,1.54,0.46,6.68,51.7,7.57,0.57,0.07,7.54,0.89,2.07,40.1,11.4,7.75,44.6,5.0,1.54,6.93,0.18,0.07,0.61,2.04,1.89,2.32,1.93,0.07,0.04,0.14,0.07,0.07,0.39,0.32,0.04,0.0,0.04,0.0,0.0,2.0,1.0,0.79,0.86,0.36,0.39,1.46,26.8,1.07,13.1,3.5,26.6,3.14,6.07,3.93,1.89,0.29,1.61,1.54,1.43,0.04,70.4,2.25,15.2,33.1,25.8,4.14,0.03196022727,0.2159090909,0.4701704545,0.3664772727,0.05880681818,62.9,0.57,1.07,53.3,0.61,0.0,44.4,205.9,121.3,5.64,1.82,0.57,1.21,0.64,55.1,47.4,85.9,4.18
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,de Bundesliga,29.0,1991.0,32,32,2835,31.5,0.0,0.03,0.03,0.01,0.01,0.02,0.22,0.06,28.6,0.14,0.5,22.6,0.0,0.06,0.02,39.8,49.5,80.4,926.4,346.0,9.84,11.3,86.8,20.8,22.6,92.0,8.76,14.7,59.5,0.25,3.84,0.38,0.03,3.68,46.4,3.11,2.95,0.03,6.32,1.65,0.13,32.9,3.37,13.3,4.92,41.1,2.48,0.16,0.19,0.25,1.08,0.89,0.79,0.76,0.51,0.06,0.03,0.03,0.03,0.1,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.24,1.02,0.67,0.48,0.1,0.38,0.98,38.7,0.6,8.54,3.05,35.7,4.79,3.3,0.44,1.71,0.63,1.08,1.62,6.98,0.1,61.6,9.62,36.0,27.9,2.76,0.54,0.1561688312,0.5844155844,0.4529220779,0.04480519481,0.008766233766,58.6,0.57,0.76,75.0,0.67,0.0,36.0,258.1,133.4,2.92,0.57,0.03,0.35,0.32,37.0,36.0,97.3,0.19
Jonathan Gradit,fr FRA,DF,Lens,fr Ligue 1,27.0,1992.0,33,33,2823,31.4,0.03,0.0,0.03,0.02,0.0,0.02,0.06,0.0,0.0,0.0,,31.9,0.0,0.02,0.0,48.4,54.8,88.3,1078.1,329.7,12.2,13.6,89.3,26.9,29.1,92.2,9.04,11.2,80.9,0.35,5.06,0.29,0.13,5.19,52.8,2.01,1.56,0.13,4.81,2.32,0.13,43.7,3.95,7.23,1.37,50.2,1.72,0.45,0.16,0.0,1.02,1.18,0.45,0.96,0.83,0.0,0.03,0.0,0.06,0.03,0.06,0.06,0.0,0.0,0.0,0.0,0.0,2.01,0.99,0.89,0.96,0.16,0.64,1.5,42.6,0.86,10.0,3.57,35.7,4.78,4.49,0.73,1.27,0.61,0.67,1.53,3.95,0.0,64.6,4.9,25.8,42.1,3.22,0.1,0.07585139319,0.399380805,0.6517027864,0.04984520124,0.001547987616,63.0,0.99,1.24,79.5,1.02,0.0,46.5,314.8,221.4,6.82,1.15,0.03,0.41,0.57,46.9,46.0,98.0,0.1
Andrew Gravillon,fr FRA,DF,Lorient,fr Ligue 1,22.0,1998.0,26,26,2272,25.2,0.08,0.04,0.12,0.01,0.04,0.05,0.56,0.16,28.6,0.07,0.25,15.7,0.04,0.07,0.0,36.2,46.8,77.2,755.2,297.0,11.9,13.7,87.2,18.2,20.4,88.9,5.71,11.3,50.5,0.24,2.22,0.32,0.16,2.14,45.0,1.83,1.63,0.04,5.36,1.55,0.28,32.1,4.48,10.2,6.31,37.6,1.71,0.2,0.0,0.2,1.27,0.91,1.19,0.56,0.48,0.04,0.0,0.04,0.0,0.0,0.2,0.16,0.0,0.0,0.04,0.0,0.0,1.47,0.63,0.99,0.4,0.08,0.63,1.51,42.1,0.87,7.58,2.42,31.9,4.56,2.82,0.2,2.74,1.51,1.23,1.98,6.75,0.0,60.6,8.41,34.2,27.9,2.14,0.52,0.1387788779,0.5643564356,0.4603960396,0.03531353135,0.008580858086,59.0,0.24,0.32,75.0,0.28,0.0,34.5,170.0,100.6,2.7,0.48,0.0,0.12,0.16,37.3,35.9,96.3,0.28
