Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG 
119,Marie-Therese Höbinger,at AUT,MF,Liverpool,22,2001,22,18,"1,411",15.7,5,6,11,5,0,0,0,0,1.7,1.7,4.4,6.1,10,95,61,0.32,0.38,0.7,0.32,0.7,0.11,0.28,0.39,0.11,0.39 
120,Isabella Hobson,eng ENG,"FW,MF",Everton,15,2007,4,0,14,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0,0.1,0,0,0,6.43,0,6.43,6.43,6.43,0.65,0,0.65,0.65,0.65 
121,Ceri Holland,wls WAL,"MF,FW",Liverpool,25,1997,19,18,"1,630",18.1,2,4,6,2,0,0,6,1,2.9,2.9,1.9,4.8,30,66,79,0.11,0.22,0.33,0.11,0.33,0.16,0.11,0.27,0.16,0.27 
122,Karen Holmgaard,dk DEN,"MF,DF",Everton,24,1999,13,5,479,5.3,2,0,2,2,0,0,1,0,0.4,0.4,0.5,0.9,7,18,9,0.38,0,0.38,0.38,0.38,0.08,0.1,0.18,0.08,0.18 
123,Sara Holmgaard,dk DEN,DF,Everton,24,1999,12,11,882,9.8,2,3,5,2,0,0,2,0,0.6,0.6,1.4,2,14,26,45,0.2,0.31,0.51,0.2,0.51,0.06,0.14,0.21,0.06,0.21 
124,Steph Houghton,eng ENG,"DF,MF",Manchester City,35,1988,4,0,58,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,10,0,0,0,0,0,0,0.27,0,0.27,0.27,0.27 
125,Sophie Howard,sct SCO,DF,Leicester City,29,1993,22,19,"1,719",19.1,1,0,1,1,0,0,2,0,0.9,0.9,0,0.9,0,46,3,0.05,0,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05 
126,Lina Hurtig,se SWE,FW,Arsenal,27,1995,2,0,52,0.6,1,0,1,1,0,0,0,0,1.2,1.2,0.5,1.7,4,3,8,1.73,0,1.73,1.73,1.73,2.09,0.92,3,2.09,3 
127,Celin Ildhusøy,no NOR,"FW,MF",Tottenham,21,2001,20,19,"1,449",16.1,4,1,5,4,0,0,1,0,2.6,2.6,1.4,4,65,41,133,0.25,0.06,0.31,0.25,0.31,0.16,0.09,0.25,0.16,0.25 
128,Amanda Ilestedt,se SWE,DF,Arsenal,30,1993,12,10,945,10.5,1,0,1,1,0,0,0,0,1,0.8,0.1,0.9,5,51,6,0.1,0,0.1,0.1,0.1,0.1,0.01,0.11,0.08,0.09 
129,Sophie Ingle,wls WAL,MF,Chelsea,31,1991,14,9,843,9.4,0,3,3,0,0,0,1,0,1,1,1.9,2.9,3,79,8,0,0.32,0.32,0,0.32,0.11,0.2,0.31,0.11,0.31 
130,Angharad James,wls WAL,"DF,MF",Tottenham,29,1994,11,11,984,10.9,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,12,54,24,0,0,0,0,0,0.04,0.03,0.06,0.04,0.06 
131,Lauren James,eng ENG,"FW,MF",Chelsea,21,2001,16,14,"1,112",12.4,13,2,15,13,0,0,5,0,5.9,5.9,2.3,8.2,49,68,88,1.05,0.16,1.21,1.05,1.21,0.48,0.19,0.66,0.48,0.66 
132,Olivia Johnson,eng ENG,FW,Brighton,16,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
133,Carrie Jones,wls WAL,"MF,FW",Bristol City,19,2003,18,16,"1,457",16.2,3,0,3,3,0,0,1,0,2.1,2.1,0.3,2.4,24,40,49,0.19,0,0.19,0.19,0.19,0.13,0.02,0.15,0.13,0.15 
134,Khiara Keating,eng ENG,GK,Manchester City,19,2004,22,22,"1,980",22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
135,Chloe Kelly,eng ENG,FW,Manchester City,25,1998,21,18,"1,594",17.7,5,5,10,4,1,2,3,0,5.9,4.3,5.2,9.5,74,63,264,0.28,0.28,0.56,0.23,0.51,0.33,0.29,0.62,0.24,0.53 
136,Maya Kendall,,FW,Bristol City,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
137,Alanna Kennedy,au AUS,DF,Manchester City,28,1995,17,14,"1,158",12.9,0,1,1,0,0,0,0,0,1.1,1.1,0.6,1.7,15,68,5,0,0.08,0.08,0,0.08,0.09,0.05,0.13,0.09,0.13 
138,Sam Kerr,au AUS,FW,Chelsea,29,1993,8,7,584,6.5,4,2,6,4,0,0,0,0,3.1,3.1,1.6,4.7,7,13,74,0.62,0.31,0.92,0.62,0.92,0.48,0.25,0.73,0.48,0.73 
139,Leanne Kiernan,ie IRL,FW,Liverpool,24,1999,14,4,420,4.7,5,2,7,5,0,0,0,0,2.6,2.6,1.1,3.7,14,8,42,1.07,0.43,1.5,1.07,1.5,0.56,0.24,0.8,0.56,0.8 
140,Fran Kirby,eng ENG,"MF,FW",Chelsea,30,1993,21,9,900,10,3,2,5,3,0,0,0,0,5.3,5.3,4.2,9.5,19,82,98,0.3,0.2,0.5,0.3,0.5,0.53,0.42,0.95,0.53,0.95 
141,Emma Koivisto,fi FIN,"DF,MF",Liverpool,28,1994,19,17,"1,401",15.6,2,0,2,2,0,0,2,0,2.2,2.2,0.3,2.5,21,49,67,0.13,0,0.13,0.13,0.13,0.14,0.02,0.16,0.14,0.16 
142,Lize Kop,nl NED,GK,Leicester City,25,1998,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
143,Kathrine Kühl,dk DEN,"MF,FW",Arsenal,20,2003,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0 
144,Kathrine Kühl,dk DEN,MF,Everton,20,2003,10,10,817,9.1,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,6,26,29,0,0.11,0.11,0,0.11,0.03,0.02,0.05,0.03,0.05 
145,Emma Kullberg,se SWE,DF,Brighton,31,1991,21,14,"1,321",14.7,0,0,0,0,0,0,0,0,0,0,0.1,0.2,14,62,34,0,0,0,0,0,0,0.01,0.01,0,0.01 
146,Cloé Lacasse,ca CAN,"FW,MF",Arsenal,30,1993,19,6,641,7.1,3,2,5,3,0,0,5,0,2.3,2.3,2.6,4.9,32,25,85,0.42,0.28,0.7,0.42,0.7,0.32,0.37,0.7,0.32,0.7 
147,Hayley Ladd,wls WAL,MF,Manchester Utd,29,1993,11,7,607,6.7,2,0,2,2,0,0,2,0,1,1,0.3,1.3,3,25,4,0.3,0,0.3,0.3,0.3,0.14,0.05,0.19,0.14,0.19 
148,Melissa Lawley,eng ENG,FW,Liverpool,29,1994,17,5,585,6.5,1,2,3,1,0,0,2,0,0.3,0.3,1.1,1.4,29,17,51,0.15,0.31,0.46,0.15,0.46,0.04,0.18,0.22,0.04,0.22 
149,Ashley Lawrence,ca CAN,"DF,MF",Chelsea,28,1995,18,10,968,10.8,1,0,1,1,0,0,1,0,1.1,1.1,1.3,2.4,18,67,48,0.09,0,0.09,0.09,0.09,0.1,0.12,0.22,0.1,0.22 
150,Rachael Laws,eng ENG,GK,Liverpool,32,1990,15,15,"1,350",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
151,Naomi Layzell,eng ENG,DF,Bristol City,19,2004,16,15,"1,303",14.5,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.6,10,27,2,0,0.07,0.07,0,0.07,0.03,0.01,0.04,0.03,0.04 
152,Maya Le Tissier,eng ENG,DF,Manchester Utd,21,2002,22,22,"1,980",22,2,1,3,2,0,0,1,0,1.2,1.2,0.7,1.9,7,95,3,0.09,0.05,0.14,0.09,0.14,0.05,0.03,0.08,0.05,0.08 
153,Anna Leat,nz NZL,GK,Aston Villa,22,2001,7,7,543,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
154,Mia Leath,,MF,Liverpool,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
155,Alisha Lehmann,ch SUI,FW,Aston Villa,24,1999,15,10,661,7.3,2,0,2,2,0,0,2,0,1.7,1.7,0.2,2,4,9,55,0.27,0,0.27,0.27,0.27,0.23,0.03,0.27,0.23,0.27 
156,Janina Leitzig,de GER,GK,Leicester City,24,1999,14,14,"1,260",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
157,Adriana Leon,ca CAN,FW,Aston Villa,30,1992,18,14,"1,173",13,5,3,8,5,0,0,5,0,3.3,3.3,2.9,6.2,44,15,108,0.38,0.23,0.61,0.38,0.61,0.25,0.22,0.47,0.25,0.47 
158,Melanie Leupolz,de GER,MF,Chelsea,29,1994,11,9,816,9.1,1,2,3,1,0,0,2,0,1.6,1.6,1.1,2.8,8,71,22,0.11,0.22,0.33,0.11,0.33,0.18,0.13,0.31,0.18,0.31 
159,Zhang Linyan,cn CHN,"MF,FW",Tottenham,22,2001,3,1,57,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,2,1,3,0,0,0,0,0,0.24,0,0.24,0.24,0.24 
160,Kim Little,sct SCO,MF,Arsenal,33,1990,17,14,"1,287",14.3,1,2,3,0,1,3,1,0,3.2,0.8,1.6,2.4,23,102,49,0.07,0.14,0.21,0,0.14,0.22,0.11,0.33,0.06,0.17 
161,Melina Loeck,de GER,GK,Brighton,23,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
162,Vicky Losada,es ESP,MF,Brighton,32,1991,21,20,"1,575",17.5,1,1,2,0,1,1,6,0,1.1,0.3,1.2,1.5,8,67,28,0.06,0.06,0.11,0,0.06,0.06,0.07,0.13,0.02,0.09 
163,Sofie Lundgaard,dk DEN,"MF,FW",Liverpool,21,2002,11,3,262,2.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,6,0,0,0,0,0,0.06,0.06,0.12,0.06,0.12 
164,Frida Maanum,no NOR,"MF,FW",Arsenal,24,1999,21,7,783,8.7,3,0,3,3,0,0,1,0,3.1,3.1,1.4,4.5,16,41,74,0.34,0,0.34,0.34,0.34,0.36,0.16,0.52,0.36,0.52 
165,Catarina Macario,us USA,FW,Chelsea,23,1999,8,4,359,4,1,5,6,1,0,0,0,0,1.2,1.2,3.1,4.3,13,19,45,0.25,1.25,1.5,0.25,1.5,0.31,0.77,1.08,0.31,1.08 
166,Ruby Mace,eng ENG,"MF,DF",Manchester City,19,2003,5,0,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,4,0,0,0,0,0,0.08,0.19,0.27,0.08,0.27 
167,Rikke Madsen,dk DEN,"FW,MF",Everton,25,1997,5,4,267,3,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0.9,2,3,19,0,0,0,0,0,0.22,0.09,0.31,0.22,0.31 
168,Simone Magill,nir NIR,"FW,MF",Aston Villa,28,1994,14,5,483,5.4,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,8,6,34,0,0.19,0.19,0,0.19,0.06,0.07,0.13,0.06,0.13 
169,Melvine Malard,fr FRA,FW,Manchester Utd,23,2000,19,11,820,9.1,5,1,6,5,0,0,1,0,4.4,4.4,1.3,5.7,18,21,76,0.55,0.11,0.66,0.55,0.66,0.48,0.14,0.63,0.48,0.63 
170,Aoife Mannion,ie IRL,DF,Manchester Utd,27,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,10,6,0,0,0,0,0,0,0.1,0.1,0,0.1 
171,Kaylan Marckese,us USA,GK,Bristol City,25,1998,4,4,314,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
172,Noelle Maritz,ch SUI,"DF,MF",Arsenal,27,1995,8,4,396,4.4,0,0,0,0,0,0,1,0,0,0,0.4,0.4,7,27,27,0,0,0,0,0,0,0.09,0.09,0,0.09 
173,Noelle Maritz,ch SUI,DF,Aston Villa,27,1995,12,12,"1,053",11.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,12,49,23,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02 
174,Jasmine Matthews,eng ENG,DF,Liverpool,30,1993,12,7,718,8,0,1,1,0,0,0,1,0,0.4,0.4,0.7,1.1,6,20,24,0,0.13,0.13,0,0.13,0.05,0.09,0.13,0.05,0.13 
175,Sarah Mayling,eng ENG,DF,Aston Villa,26,1997,21,20,"1,741",19.3,1,0,1,0,1,1,3,0,0.9,0.1,0.6,0.6,19,81,43,0.05,0,0.05,0,0,0.04,0.03,0.07,0,0.03 
176,Katie McCabe,ie IRL,DF,Arsenal,27,1995,21,19,"1,652",18.4,3,2,5,3,0,0,8,0,1.8,1.8,4.2,5.9,36,146,111,0.16,0.11,0.27,0.16,0.27,0.1,0.23,0.32,0.1,0.32 
177,Grace McEwan,,DF,Brighton,,,1,0,9,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
178,Olivia McLoughlin,eng ENG,"MF,DF",Aston Villa,18,2004,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0 
179,Beth Mead,eng ENG,FW,Arsenal,28,1995,20,16,"1,374",15.3,8,4,12,8,0,0,0,0,6.8,6.8,5.8,12.7,32,70,182,0.52,0.26,0.79,0.52,0.79,0.45,0.38,0.83,0.45,0.83 
180,Li Mengwen,cn CHN,DF,Brighton,28,1995,11,6,543,6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,12,12,14,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04 
181,Kristie Mewis,us USA,"MF,FW",West Ham,32,1991,3,0,95,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0,0.2,0,6,2,0,0.95,0.95,0,0.95,0.17,0.04,0.2,0.17,0.2 
182,Teagan Micah,au AUS,GK,Liverpool,25,1997,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
183,Vivianne Miedema,nl NED,"MF,FW",Arsenal,27,1996,9,3,290,3.2,2,1,3,2,0,0,0,0,1.8,1.8,1.1,2.9,7,20,18,0.62,0.31,0.93,0.62,0.93,0.56,0.34,0.89,0.56,0.89 
184,Hinata Miyazawa,jp JPN,"MF,FW",Manchester Utd,23,1999,12,6,532,5.9,1,1,2,1,0,0,0,0,1.2,1.2,0.9,2.1,5,26,28,0.17,0.17,0.34,0.17,0.34,0.21,0.15,0.36,0.21,0.36 
185,Maren Mjelde,no NOR,DF,Chelsea,33,1989,7,5,415,4.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,13,2,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06 
186,Yuka Momiki,jp JPN,"MF,FW",Leicester City,27,1996,12,11,955,10.6,2,3,5,2,0,0,1,0,1.4,1.4,1.7,3.1,16,50,52,0.19,0.28,0.47,0.19,0.47,0.13,0.16,0.3,0.13,0.3 
187,Esme Morgan,eng ENG,DF,Manchester City,22,2000,9,5,537,6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,53,10,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04 
188,Ffion Morgan,wls WAL,"MF,FW",Bristol City,23,2000,22,19,"1,643",18.3,1,2,3,1,0,0,0,0,0.9,0.9,2.6,3.5,39,32,75,0.05,0.11,0.16,0.05,0.16,0.05,0.14,0.19,0.05,0.19 
189,Georgia Mullett,eng ENG,FW,Aston Villa,17,2005,6,0,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,1,3,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08 
190,Satara Murray,jm JAM,DF,Bristol City,30,1993,4,2,167,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08 
191,Zećira Mušović,se SWE,GK,Chelsea,27,1996,7,7,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
192,Chloe Mustaki,ie IRL,DF,Bristol City,28,1995,6,5,451,5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,10,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01 
193,Lisa Naalsund,no NOR,MF,Manchester Utd,28,1995,17,11,989,11,2,2,4,2,0,0,0,0,0.7,0.7,1.9,2.5,25,62,43,0.18,0.18,0.36,0.18,0.36,0.06,0.17,0.23,0.06,0.23 
194,Fūka Nagano,jp JPN,MF,Liverpool,24,1999,21,21,"1,841",20.5,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,8,91,15,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03 
195,Jamie-Lee Napier,sct SCO,"DF,MF",Bristol City,23,2000,19,18,"1,642",18.2,0,1,1,0,0,0,6,1,0.6,0.6,0.4,1,29,44,58,0,0.05,0.05,0,0.05,0.03,0.02,0.05,0.03,0.05 
196,Jessica Naz,eng ENG,"FW,MF",Tottenham,22,2000,22,10,"1,053",11.7,3,4,7,3,0,0,2,0,1.8,1.8,2,3.8,46,32,89,0.26,0.34,0.6,0.26,0.6,0.16,0.17,0.33,0.16,0.33 
197,Ashleigh Neville,eng ENG,DF,Tottenham,30,1993,19,18,"1,605",17.8,1,0,1,1,0,0,2,0,1.2,1.2,1.2,2.5,44,82,39,0.06,0,0.06,0.06,0.06,0.07,0.07,0.14,0.07,0.14 
198,Courtney Nevin,au AUS,"DF,MF",Leicester City,21,2002,16,13,"1,154",12.8,0,1,1,0,0,0,3,0,0.2,0.2,1.1,1.3,9,52,35,0,0.08,0.08,0,0.08,0.02,0.09,0.1,0.02,0.1 
199,Amanda Nildén,se SWE,DF,Tottenham,24,1998,10,10,828,9.2,0,1,1,0,0,0,1,0,0.9,0.9,0.8,1.7,17,34,29,0,0.11,0.11,0,0.11,0.1,0.09,0.18,0.1,0.18 
200,Jordan Nobbs,eng ENG,MF,Aston Villa,30,1992,22,17,"1,459",16.2,2,2,4,2,0,0,3,0,1.8,1.8,1.4,3.2,14,94,59,0.12,0.12,0.25,0.12,0.25,0.11,0.09,0.2,0.11,0.2 
201,Aniek Nouwen,nl NED,DF,Chelsea,24,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0,1.51,1.51,0,1.51 
202,Sjoeke Nüsken,de GER,"MF,FW",Chelsea,22,2001,21,13,"1,124",12.5,8,3,11,8,0,0,1,0,8.5,8.5,1.6,10,12,70,71,0.64,0.24,0.88,0.64,0.88,0.68,0.12,0.8,0.68,0.8 
203,Karoline Olesen,dk DEN,"MF,FW",Everton,18,2005,13,3,383,4.3,0,1,1,0,0,0,1,0,0,0,0.4,0.4,5,25,10,0,0.23,0.23,0,0.23,0,0.1,0.1,0,0.1 
204,Leila Ouahabi,es ESP,DF,Manchester City,30,1993,17,16,"1,402",15.6,1,4,5,1,0,0,2,1,0.9,0.9,1.2,2.1,8,86,62,0.06,0.26,0.32,0.06,0.32,0.06,0.08,0.13,0.06,0.13 
205,Shannon O’Brien,eng ENG,"FW,MF",Leicester City,21,2001,9,8,519,5.8,0,0,0,0,0,0,3,0,1.9,1.9,0.7,2.6,13,7,52,0,0,0,0,0,0.32,0.13,0.45,0.32,0.45 
206,Mayumi Pacheco,eng ENG,DF,Aston Villa,24,1998,18,12,"1,132",12.6,1,2,3,1,0,0,4,1,1,1,0.4,1.4,16,72,38,0.08,0.16,0.24,0.08,0.24,0.08,0.03,0.11,0.08,0.11 
207,Aimee Palmer,eng ENG,MF,Leicester City,23,2000,7,4,308,3.4,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,15,9,0.29,0,0.29,0.29,0.29,0.05,0.05,0.1,0.05,0.1 
208,Jessica Park,eng ENG,"MF,FW",Manchester City,21,2001,18,9,969,10.8,4,5,9,4,0,0,0,0,4,4,3.2,7.2,38,66,63,0.37,0.46,0.84,0.37,0.84,0.37,0.3,0.67,0.37,0.67 
209,Lucy Parker,eng ENG,"MF,DF",Aston Villa,24,1998,8,4,465,5.2,1,0,1,1,0,0,3,0,0.7,0.7,0.6,1.3,7,16,5,0.19,0,0.19,0.19,0.19,0.13,0.12,0.25,0.13,0.25 
210,Nikita Parris,eng ENG,FW,Manchester Utd,29,1994,21,16,"1,195",13.3,8,1,9,8,0,0,1,0,4.3,4.3,2,6.3,18,27,81,0.6,0.08,0.68,0.6,0.68,0.32,0.15,0.47,0.32,0.47 
211,Lucy Parry,eng ENG,"DF,MF",Liverpool,19,2004,10,3,294,3.3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,13,17,12,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07 
212,Anna Patten,ie IRL,DF,Aston Villa,24,1999,22,22,"1,954",21.7,1,1,2,1,0,0,3,0,1.2,1.2,0.4,1.6,8,74,8,0.05,0.05,0.09,0.05,0.09,0.05,0.02,0.07,0.05,0.07 
213,Poppy Pattinson,eng ENG,"DF,MF",Brighton,23,2000,16,15,"1,248",13.9,0,1,1,0,0,0,0,0,0.2,0.2,1.5,1.7,22,48,41,0,0.07,0.07,0,0.07,0.02,0.11,0.12,0.02,0.12 
214,Heather Payne,ie IRL,"DF,FW",Everton,23,2000,17,15,"1,337",14.9,0,0,0,0,0,0,3,0,0.2,0.2,1.8,2,46,30,66,0,0,0,0,0,0.02,0.12,0.14,0.02,0.14 
215,Emilia Pelgander,se SWE,MF,Leicester City,19,2004,8,1,121,1.3,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,2,7,6,0,0,0,0,0,0.04,0,0.04,0.04,0.04 
216,Victoria Pelova,nl NED,MF,Arsenal,24,1999,22,20,"1,551",17.2,2,5,7,2,0,0,3,0,2.9,2.9,5.5,8.5,33,115,81,0.12,0.29,0.41,0.12,0.41,0.17,0.32,0.49,0.17,0.49 
217,Ria Percival,nz NZL,"MF,FW",Tottenham,33,1989,6,2,174,1.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,7,4,0.52,0,0.52,0.52,0.52,0.16,0.03,0.19,0.16,0.19 
218,Ève Périsset,fr FRA,"DF,MF",Chelsea,28,1994,13,10,872,9.7,0,1,1,0,0,0,0,0,0.1,0.1,2.3,2.4,15,78,20,0,0.1,0.1,0,0.1,0.01,0.24,0.25,0.01,0.25 
219,Lena Petermann,de GER,FW,Leicester City,29,1994,20,18,"1,524",16.9,5,4,9,5,0,0,2,0,4.2,4.2,1.1,5.3,17,35,98,0.3,0.24,0.53,0.3,0.53,0.25,0.06,0.31,0.25,0.31 
220,Ramona Petzelberger,de GER,"MF,DF",Tottenham,30,1992,10,2,309,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,2,13,20,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07 
221,Martina Piemonte,it ITA,"FW,MF",Everton,25,1997,19,8,848,9.4,3,1,4,3,0,0,1,0,3.7,3.7,0.4,4.2,5,25,58,0.32,0.11,0.42,0.32,0.42,0.4,0.05,0.44,0.4,0.44 
222,Tatiana Pinto,pt POR,"MF,FW",Brighton,29,1994,20,8,823,9.1,2,0,2,2,0,0,4,0,2,2,0.5,2.5,16,37,32,0.22,0,0.22,0.22,0.22,0.22,0.06,0.28,0.22,0.28 
223,Sophia Poor,eng ENG,GK,Aston Villa,17,2006,2,1,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
224,Ella Powell,wls WAL,DF,Bristol City,23,2000,20,18,"1,478",16.4,1,0,1,1,0,0,3,0,0.6,0.6,0.4,0.9,25,39,24,0.06,0,0.06,0.06,0.06,0.03,0.02,0.06,0.03,0.06 
225,Mayra Ramírez,co COL,FW,Chelsea,24,1999,7,4,369,4.1,3,2,5,3,0,0,0,0,2.4,2.4,2.1,4.4,14,12,39,0.73,0.49,1.22,0.73,1.22,0.58,0.5,1.08,0.58,1.08 
226,Emily Ramsey,eng ENG,GK,Everton,22,2000,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
227,Jutta Rantala,fi FIN,"MF,FW",Leicester City,23,1999,22,20,"1,761",19.6,6,5,11,6,0,0,1,0,4.4,4.4,3.6,8,48,88,123,0.31,0.26,0.56,0.31,0.56,0.23,0.18,0.41,0.23,0.41 
228,Katie Reid,eng ENG,DF,Arsenal,16,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,1,0,0,0,0,0,0,0,4.24,4.24,0,4.24 
229,Guro Reiten,no NOR,"FW,MF",Chelsea,29,1994,16,12,"1,048",11.6,7,5,12,4,3,3,0,0,6.2,3.8,5.2,9,25,43,152,0.6,0.43,1.03,0.34,0.77,0.53,0.45,0.98,0.33,0.78 
230,Jayde Riviere,ca CAN,DF,Manchester Utd,22,2001,15,12,"1,117",12.4,0,1,1,0,0,0,3,0,0.1,0.1,1.8,1.9,20,56,39,0,0.08,0.08,0,0.08,0.01,0.15,0.16,0.01,0.16 
231,Katie Robinson,eng ENG,"FW,MF",Brighton,20,2002,22,18,"1,576",17.5,3,2,5,3,0,0,0,0,1.5,1.5,1.9,3.4,49,30,96,0.17,0.11,0.29,0.17,0.29,0.09,0.11,0.19,0.09,0.19 
232,Amy Rodgers,sct SCO,MF,Bristol City,23,2000,22,22,"1,932",21.5,1,0,1,1,0,0,3,0,1,1,0.5,1.5,8,56,12,0.05,0,0.05,0.05,0.05,0.04,0.02,0.07,0.04,0.07 
233,Sophie Román Haug,no NOR,FW,Liverpool,24,1999,20,19,"1,618",18,7,2,9,7,0,0,1,0,6.5,6.5,3.7,10.2,8,50,88,0.39,0.11,0.5,0.39,0.5,0.36,0.21,0.57,0.36,0.57 
234,Jill Roord,nl NED,MF,Manchester City,26,1997,11,11,912,10.1,6,2,8,6,0,0,2,0,4.6,4.6,1,5.6,12,65,53,0.59,0.2,0.79,0.59,0.79,0.45,0.1,0.55,0.45,0.55 
235,Deanne Rose,ca CAN,"MF,FW",Leicester City,24,1999,15,4,576,6.4,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,23,11,58,0,0.16,0.16,0,0.16,0.14,0.14,0.28,0.14,0.28 
236,Charlize Rule,au AUS,"MF,DF",Brighton,20,2003,9,3,403,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,10,16,10,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04 
237,Alessia Russo,eng ENG,"FW,MF",Arsenal,24,1999,22,20,"1,727",19.2,12,4,16,11,1,1,2,0,12.3,11.5,3.1,14.6,34,56,153,0.63,0.21,0.83,0.57,0.78,0.64,0.16,0.8,0.6,0.76 
238,Johanna Rytting Kaneryd,se SWE,"FW,MF",Chelsea,26,1997,19,13,"1,167",13,4,6,10,4,0,0,0,0,4,4,3.9,7.8,53,49,151,0.31,0.46,0.77,0.31,0.77,0.31,0.3,0.6,0.31,0.6 
